src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,pkt_count,pkt_size_avg,bytes_sent,bytes_received,conn_count_last_10s,same_dst_count,srv_serror_rate,dst_host_srv_count,dst_host_same_srv_rate,is_malicious,attack_type,country_src,country_dst,entropy,flow_id,honeypot_flag
126.79.53.210,148.131.46.21,64255,5985,TCP,5821,342,1278,8804,36558,17,11,0.25,41,0.6,0,Normal,USA,China,0.313,19,0
145.212.60.52,229.133.192.185,44435,1584,ICMP,1013,172,555,33231,22444,45,17,0.16,8,0.36,0,Normal,USA,USA,0.869,20,0
44.116.28.120,188.225.3.94,22842,1289,ICMP,7182,983,603,33335,1262,33,21,0.28,2,0.95,0,Normal,India,Germany,0.274,21,0
174.130.109.183,62.78.227.17,28596,4750,UDP,5205,415,206,8923,12976,15,12,0.11,45,0.14,0,Normal,Germany,Russia,0.184,22,0
133.211.27.78,203.234.239.125,23021,4256,TCP,2264,159,669,45214,2107,47,9,0.61,16,0.07,0,Normal,China,China,0.239,23,0
86.231.183.89,67.29.58.26,17693,698,TCP,5147,746,718,33824,6060,38,6,0.0,40,0.88,0,Normal,Germany,USA,0.435,24,0
134.147.159.31,93.223.141.60,5105,1591,ICMP,1240,49,139,3358,27187,29,4,0.27,28,0.66,0,Normal,Russia,USA,0.724,25,0
182.151.28.251,157.248.216.223,50373,376,UDP,4498,905,510,21737,14246,41,23,0.49,47,0.86,0,Normal,China,Russia,0.889,26,0
13.7.127.190,180.122.148.155,44575,2492,TCP,2549,684,1459,31281,13112,18,15,0.92,43,0.65,0,Normal,Germany,Germany,0.577,27,0
222.53.36.43,126.63.60.102,50005,7630,TCP,6873,482,739,46246,37812,8,9,0.86,19,0.39,0,Normal,Russia,USA,0.832,28,0
189.228.61.59,162.237.89.33,1512,2431,ICMP,7523,882,1234,35766,31504,23,24,0.53,49,0.92,1,Normal,Germany,Germany,0.346,29,0
27.38.169.246,145.92.180.53,24505,3108,ICMP,6324,187,336,37058,36983,30,12,0.99,16,0.32,0,DDoS,Russia,Russia,0.226,30,0
139.62.109.240,97.109.108.68,33701,3358,UDP,6574,642,808,26878,34623,42,12,0.05,42,0.66,1,Normal,Russia,China,0.47,31,0
11.48.6.231,127.132.5.236,60974,970,ICMP,1886,791,1473,48733,23389,26,10,0.1,21,0.76,1,Normal,Russia,Russia,0.795,32,0
34.199.246.31,41.219.230.187,11034,6344,ICMP,3356,132,796,24966,27051,39,11,0.97,40,0.86,0,Normal,Germany,UK,0.545,33,0
178.223.80.96,161.206.6.231,22154,4275,TCP,7473,232,741,41412,18167,32,28,0.54,14,0.99,0,DoS,Russia,Germany,0.168,34,1
186.51.78.59,185.97.43.34,17490,6761,ICMP,9087,316,800,38299,37480,21,17,0.64,11,0.42,0,Normal,China,USA,0.755,35,0
251.66.210.190,200.202.164.228,23205,142,UDP,1250,352,524,1603,36127,20,20,0.58,23,0.69,0,DoS,Russia,Russia,0.596,36,0
209.2.201.249,231.175.192.8,1231,7310,ICMP,7638,387,1039,32152,1940,48,24,0.77,11,0.13,0,Normal,Germany,Russia,0.426,37,0
18.104.159.26,85.133.13.12,42211,1643,UDP,4172,837,909,914,18921,44,12,0.11,24,0.23,0,Normal,Germany,China,0.181,38,0
239.108.86.168,151.39.222.103,59108,3635,TCP,5260,563,563,509,11114,10,23,0.89,48,0.64,0,SQL Injection,USA,Russia,0.679,39,0
9.134.172.60,69.174.138.70,4160,7650,UDP,7606,127,989,39446,17852,45,1,0.14,12,0.25,0,DDoS,India,India,0.114,40,0
76.76.49.202,249.130.127.59,49549,2274,ICMP,925,747,1387,4866,3919,6,2,0.81,26,0.11,0,Normal,UK,China,0.909,41,0
205.64.40.78,242.227.59.231,54457,6407,TCP,4487,245,1390,42135,8098,10,4,0.68,48,0.58,1,Normal,Russia,UK,0.664,42,0
187.16.157.191,19.197.206.178,33354,2726,TCP,6421,777,397,36546,47180,14,16,0.35,48,0.51,0,Normal,China,Germany,0.893,43,0
5.120.241.86,148.171.117.66,56332,6383,UDP,5432,891,1123,22768,17813,30,7,0.33,24,0.21,0,DoS,Germany,UK,0.958,44,0
172.67.4.150,136.140.159.81,52857,4065,ICMP,3758,14,1266,41292,37284,44,3,0.14,4,0.74,0,Normal,Russia,Germany,0.918,45,0
217.56.188.213,230.132.227.132,32168,1630,TCP,8073,606,1078,8343,24514,45,11,0.69,8,0.28,0,Normal,USA,China,0.604,46,0
114.119.147.202,197.71.129.214,42573,4102,UDP,1138,561,67,25846,18005,46,25,0.47,37,0.46,0,Normal,UK,China,0.101,47,0
196.210.102.134,96.78.49.79,65098,1798,ICMP,741,377,876,6651,30764,16,28,0.7,25,0.32,0,Normal,USA,UK,0.544,48,0
216.98.88.47,92.166.12.176,8176,1570,ICMP,9942,792,1402,29944,23157,19,12,0.47,25,0.56,0,Normal,China,USA,0.983,49,0
210.185.115.222,127.26.196.194,49720,2220,TCP,1160,982,809,4793,15165,22,12,1.0,32,0.26,0,Normal,Germany,UK,0.614,50,1
200.170.172.8,247.246.3.221,41720,1060,TCP,2474,423,1311,44988,44166,3,13,0.22,24,0.12,0,Normal,UK,China,0.223,51,0
161.59.101.123,209.97.135.90,31471,2743,UDP,5768,478,488,41554,11116,10,6,0.18,8,0.66,0,Normal,Russia,USA,0.993,52,0
229.254.234.190,241.39.172.219,28600,7615,UDP,6383,91,745,33216,28891,39,23,0.64,44,0.27,1,SQL Injection,UK,Germany,0.598,53,1
240.155.128.112,181.123.236.138,43149,4720,UDP,8748,608,987,3118,11161,1,13,0.4,3,0.73,0,Normal,Germany,Germany,0.67,54,0
99.250.165.3,20.127.174.35,37107,3218,ICMP,3520,721,222,11285,4810,13,12,0.31,34,0.76,0,Normal,Russia,Germany,0.864,55,0
245.84.193.91,37.23.223.38,27198,2519,ICMP,2167,190,690,685,11878,12,10,0.97,30,0.04,0,Normal,Germany,USA,0.591,56,0
250.90.207.84,202.14.196.40,52644,1538,UDP,2921,750,759,30055,41524,37,18,0.08,31,0.56,0,Normal,India,Germany,0.13,57,0
215.249.101.224,67.185.41.106,52109,7723,UDP,1276,130,355,8127,963,25,20,0.84,36,0.23,0,Normal,USA,UK,0.664,58,1
161.78.38.131,167.93.51.195,44800,2588,UDP,1499,977,1234,47408,40895,26,3,0.24,2,0.87,0,Normal,China,Russia,0.676,59,0
191.61.176.17,142.8.197.220,34801,4686,TCP,6173,626,274,30090,25387,6,24,0.77,23,0.86,0,Normal,Germany,USA,0.607,60,0
198.19.233.47,197.192.152.79,1376,6893,ICMP,4279,993,1212,25381,42721,47,21,0.71,48,0.43,0,Normal,UK,India,0.502,61,0
242.189.92.1,8.151.170.20,62703,2568,UDP,615,407,238,23492,18012,45,24,0.97,11,0.93,0,Normal,Russia,China,0.983,62,0
132.79.158.157,94.53.47.173,16737,7136,ICMP,7363,853,75,11026,31872,33,28,0.47,35,0.13,0,Normal,UK,Germany,0.135,63,0
182.254.49.173,87.214.188.76,8294,4645,ICMP,7434,664,824,17713,29756,5,2,0.08,8,0.74,0,Normal,Russia,Germany,0.547,64,0
16.19.145.212,241.208.81.62,48188,7008,UDP,5789,894,357,48950,29183,1,21,0.61,13,1.0,0,Normal,China,Russia,0.134,65,0
91.173.10.254,40.210.36.150,58701,5043,TCP,6940,557,1250,25766,42070,17,2,0.75,3,0.37,0,Normal,Germany,UK,0.542,66,0
236.197.107.104,115.44.251.232,52344,4137,ICMP,4958,681,480,37758,43120,27,11,0.24,27,0.51,0,SQL Injection,Germany,India,0.167,67,0
245.165.105.131,203.178.101.122,35063,2494,TCP,6628,234,743,42930,35654,25,7,0.59,33,0.25,0,Normal,UK,USA,0.547,68,1
55.89.72.17,218.77.217.69,18391,4715,ICMP,9910,759,754,23715,4288,23,1,0.08,4,0.88,0,Normal,Germany,Germany,0.94,69,0
124.146.253.14,101.192.253.182,26402,5828,UDP,8368,68,1226,44109,3264,18,12,0.37,2,0.53,0,SQL Injection,India,Germany,0.161,70,0
167.88.3.50,172.41.19.88,17067,1280,TCP,4622,391,1480,28039,12625,21,1,0.06,43,0.04,1,Normal,India,India,0.704,71,0
145.161.233.162,34.18.108.34,10314,742,ICMP,4152,898,335,21261,36515,24,9,0.67,19,0.19,0,Normal,USA,China,0.79,72,0
103.207.40.217,18.55.189.134,33217,4419,UDP,2341,739,603,12445,28741,28,29,0.2,33,0.13,0,Normal,UK,UK,0.28,73,0
40.233.237.240,64.165.208.183,5007,1674,TCP,6329,368,1260,28580,18777,19,25,0.05,18,0.99,0,DDoS,Russia,Russia,0.289,74,0
118.54.85.65,168.102.58.130,20139,7554,UDP,3781,26,308,32673,24167,23,18,0.66,27,0.83,0,Botnet,Germany,USA,0.611,75,0
74.158.110.137,88.211.76.171,17538,7325,ICMP,7624,726,1343,33400,39048,2,18,0.15,29,0.05,0,Normal,India,Russia,0.674,76,0
167.119.135.219,209.193.25.202,31752,2036,ICMP,8631,720,1228,45208,47777,33,12,0.05,12,0.5,0,Normal,Germany,USA,0.661,77,0
196.251.12.186,97.227.130.246,23436,1947,ICMP,1203,212,290,18214,42563,34,21,0.65,29,0.36,0,Normal,USA,India,0.54,78,0
210.97.38.44,12.67.41.174,49951,3492,ICMP,6559,738,290,18648,11892,24,7,0.37,9,0.61,0,Normal,Russia,UK,0.962,79,0
186.245.66.32,252.188.170.22,43629,675,TCP,7056,614,1355,40072,45603,22,5,0.27,17,0.98,0,Normal,Germany,USA,0.475,80,0
38.223.2.133,215.233.67.167,22325,4956,TCP,8996,981,790,17257,24334,28,7,0.95,49,0.65,0,Normal,Germany,China,0.347,81,0
109.133.175.173,70.210.198.151,26216,6684,ICMP,3139,497,1392,46104,15443,6,27,0.17,12,0.58,1,Normal,UK,UK,0.271,82,0
54.218.177.62,55.21.238.52,14872,6844,ICMP,5499,744,630,22873,16216,13,3,0.21,6,0.43,0,Normal,China,China,0.664,83,0
229.185.71.98,94.41.248.7,12683,2854,TCP,608,290,1058,2697,9505,15,11,0.47,28,0.29,0,Normal,Russia,UK,0.952,84,0
129.182.82.68,104.38.76.102,59276,3736,UDP,3663,518,410,26148,7289,17,21,0.56,20,0.69,0,Botnet,Germany,UK,0.137,85,0
14.164.246.108,130.75.181.56,53955,71,UDP,2457,303,900,2949,27946,47,7,0.27,14,0.64,1,Normal,Russia,China,0.555,86,0
205.238.104.97,140.80.248.155,56797,4118,TCP,3165,647,699,25755,21809,8,3,0.87,6,0.02,1,Normal,Germany,USA,0.377,87,0
148.224.12.227,145.128.38.193,52663,4666,ICMP,8292,323,333,47412,7448,9,2,0.42,49,0.53,0,Normal,USA,China,0.299,88,0
76.4.57.115,170.16.249.20,63295,3256,UDP,7964,122,1041,32625,25166,37,28,0.85,31,0.64,1,Normal,Germany,Russia,0.292,89,0
11.191.219.231,96.95.58.1,7653,7047,TCP,9134,192,1207,42596,18768,45,5,0.05,10,0.31,0,DDoS,India,UK,0.92,90,0
70.176.46.25,209.40.153.233,4713,7769,TCP,3011,314,1465,29980,38763,42,5,0.89,33,0.62,0,Normal,China,USA,0.885,91,0
118.1.1.9,5.23.180.61,14732,6997,UDP,4870,632,1302,2150,31008,43,11,0.65,43,0.2,0,DoS,USA,Germany,0.13,92,0
168.224.229.98,100.152.157.248,12251,2157,ICMP,9032,137,434,49773,34284,33,14,0.17,16,0.86,0,Normal,UK,Russia,0.97,93,0
12.22.151.4,213.126.43.241,19080,926,ICMP,4606,739,469,21951,12349,10,7,0.5,1,0.14,0,Normal,Russia,USA,0.492,94,0
211.227.220.255,79.29.7.158,41954,263,UDP,567,13,353,25210,6533,7,7,0.16,4,0.53,0,DoS,USA,UK,0.135,95,0
26.50.72.223,20.234.16.238,54198,1091,ICMP,486,594,342,39179,41862,11,25,0.34,49,0.35,0,Normal,India,UK,0.375,96,0
31.195.242.31,100.146.46.43,22461,3563,UDP,9463,492,947,32168,40108,36,5,0.06,13,0.08,0,Normal,UK,Germany,0.832,97,0
114.147.142.71,218.173.45.151,11119,3217,TCP,4951,880,87,40973,20065,22,10,0.32,32,0.64,0,SQL Injection,USA,Germany,0.985,98,0
178.189.151.207,7.154.185.246,42609,6554,UDP,6372,741,1193,27005,36583,30,4,0.27,26,0.04,0,SQL Injection,Germany,Germany,0.302,99,0
33.116.22.241,102.208.130.2,9072,4327,UDP,4451,592,144,10180,29357,19,29,0.48,9,0.94,0,Normal,China,Germany,0.303,100,0
79.208.133.57,50.115.117.194,4111,7882,ICMP,8868,286,918,37315,25366,36,19,0.96,31,0.57,0,Normal,UK,China,0.111,101,0
154.100.96.159,56.42.209.164,38680,3379,UDP,7970,575,345,30794,42100,7,14,0.96,18,0.38,1,Normal,USA,Germany,0.194,102,0
29.6.127.215,114.242.191.169,61798,2831,ICMP,2012,608,446,31202,30696,33,2,0.41,8,1.0,0,Normal,Russia,UK,0.278,103,0
123.91.179.124,99.100.131.190,64789,6792,UDP,303,301,551,3737,1910,19,23,0.69,25,0.8,1,Normal,China,China,0.861,104,0
150.23.230.226,229.177.13.72,28801,5838,ICMP,8767,907,219,1756,32679,48,11,0.15,48,0.89,1,Normal,Germany,USA,0.785,105,0
79.75.194.163,122.83.158.95,27212,4298,UDP,2149,692,388,18441,40711,4,14,0.86,4,0.1,0,Ransomware,India,China,0.29,106,1
185.145.133.109,236.241.31.121,59237,5221,TCP,2100,530,1391,38919,25448,31,7,0.28,29,0.11,0,Normal,Germany,China,0.526,107,0
110.222.66.121,23.26.217.88,2217,3367,UDP,1482,264,939,22797,9197,11,3,0.83,18,0.71,0,Ransomware,India,UK,0.571,108,0
51.163.184.123,57.195.107.137,14544,5964,ICMP,7006,839,936,8044,7775,12,17,0.83,48,0.45,1,Normal,India,Russia,0.18,109,0
40.146.85.190,137.19.95.195,29561,6037,TCP,1437,838,299,10694,42312,42,23,0.6,46,0.62,0,Normal,UK,Russia,0.147,110,0
54.158.206.210,155.239.172.168,19260,4988,UDP,5511,197,803,21303,32402,20,7,0.52,46,0.96,0,SQL Injection,Russia,China,0.251,111,0
44.174.10.104,69.41.228.237,19209,1943,UDP,5940,43,670,47574,13897,34,23,0.5,1,0.31,0,Normal,India,Russia,0.626,112,0
80.239.92.66,75.100.53.132,14758,5702,TCP,6717,51,701,21242,15282,37,17,0.7,10,0.18,0,Botnet,USA,USA,0.879,113,0
176.232.119.125,117.178.114.16,43610,7693,UDP,8996,379,157,9023,26450,45,23,0.9,29,0.9,0,DoS,USA,USA,0.92,114,0
253.248.181.202,101.19.202.47,5194,2773,ICMP,222,833,1108,21304,44842,15,21,0.38,36,0.62,1,Normal,USA,China,0.127,115,0
51.153.86.238,138.146.157.91,13166,3914,UDP,3551,436,1477,3567,42227,12,7,0.84,37,0.97,0,SQL Injection,India,USA,0.416,116,0
82.227.195.83,165.148.86.191,4249,4898,TCP,6642,341,1353,28122,3002,38,4,0.73,12,0.72,0,Ransomware,USA,UK,0.632,117,0
40.99.199.46,159.67.143.209,12202,2882,ICMP,9370,400,1206,36423,19629,34,21,0.6,20,0.09,1,Normal,USA,Russia,0.492,118,0
75.96.142.156,132.189.20.82,47770,835,ICMP,1829,252,339,1064,979,44,28,0.79,19,0.09,0,Normal,UK,Russia,0.466,119,0
115.209.126.251,203.207.178.17,62166,3968,ICMP,8216,70,297,42102,16815,15,6,0.44,26,0.35,0,Normal,China,India,0.884,120,0
63.198.83.218,51.221.165.183,13245,1040,UDP,7050,85,822,36976,18514,21,2,0.1,45,0.46,0,SQL Injection,Germany,UK,0.365,121,0
146.73.130.201,83.17.180.137,21761,6158,ICMP,3882,468,560,6377,30730,24,26,0.7,10,0.78,0,Normal,UK,China,0.828,122,0
232.128.137.246,216.69.195.58,64639,2257,ICMP,91,224,885,1858,35731,21,20,0.5,27,0.25,0,Normal,China,USA,0.846,123,0
38.105.147.184,141.80.70.121,59318,3371,TCP,2008,516,207,48657,14545,47,9,0.7,3,0.97,1,DDoS,Germany,Russia,0.375,124,0
227.39.55.198,203.87.88.196,51268,5507,UDP,1957,393,254,21580,18973,48,1,0.67,25,0.86,0,Normal,Russia,USA,0.488,125,0
179.111.30.189,72.246.38.159,32987,5627,UDP,3512,78,703,42063,11529,47,16,0.3,43,0.43,0,Normal,USA,India,0.451,126,0
105.72.123.86,53.179.76.224,7405,4848,UDP,8629,608,1123,44733,5326,18,12,0.91,1,0.37,0,Normal,Germany,India,0.601,127,0
3.8.89.239,101.169.140.231,64551,2245,ICMP,9277,537,1028,16900,49438,42,10,0.13,17,0.07,0,Normal,India,Germany,0.106,128,0
31.56.71.247,194.169.118.10,47549,6920,TCP,8897,462,827,26391,280,41,21,0.83,47,0.44,1,Normal,UK,Germany,0.139,129,0
249.107.33.17,50.105.76.124,19914,1862,TCP,2909,763,216,30781,49919,46,21,0.13,20,0.5,0,DDoS,Germany,UK,0.471,130,0
201.97.32.1,11.169.22.205,61377,4994,ICMP,7161,469,897,9454,21347,25,19,0.68,44,0.88,0,Normal,UK,Russia,0.236,131,0
118.29.73.105,110.73.175.107,38727,4816,UDP,6537,816,1307,32426,24077,34,14,0.1,44,0.46,0,Normal,China,China,0.11,132,0
54.159.110.148,228.186.156.127,48751,4125,ICMP,8670,327,238,190,4924,47,20,0.84,17,0.78,0,Normal,UK,China,0.107,133,0
101.186.248.196,45.151.230.128,46482,1309,TCP,9437,890,548,49572,2838,16,17,0.66,25,0.97,0,Normal,Russia,Russia,0.4,134,0
116.98.251.195,176.121.53.73,29691,6375,TCP,3152,588,421,7101,410,11,29,0.42,7,0.43,0,DDoS,UK,Germany,0.849,135,0
202.31.145.86,236.87.166.102,27365,2660,UDP,9575,297,130,6264,41578,35,6,0.11,25,0.14,1,Normal,Russia,UK,0.911,136,0
138.202.241.84,79.86.230.22,51123,2557,TCP,4527,44,1263,47965,9573,17,18,0.21,45,0.61,0,Ransomware,UK,USA,0.922,137,0
45.197.133.232,138.61.160.120,55253,3752,ICMP,2582,930,694,42058,43537,41,13,0.44,3,0.25,1,Normal,Russia,UK,0.827,138,0
200.151.50.161,92.239.226.229,41097,1420,TCP,6878,609,656,11667,34720,29,3,0.59,1,0.85,0,Normal,Russia,India,0.576,139,0
104.230.10.60,96.96.136.122,53856,1746,UDP,7062,309,1069,15637,18322,1,11,0.45,20,0.31,0,DDoS,India,Russia,0.846,140,0
114.85.18.82,211.176.92.168,48593,7272,TCP,7875,319,475,14209,9469,20,19,0.13,19,0.23,0,DoS,India,Germany,0.815,141,0
183.132.8.47,200.242.152.255,1505,2789,ICMP,9741,758,1169,40739,9701,17,8,0.3,38,0.24,1,Normal,UK,USA,0.504,142,0
56.196.149.240,205.43.104.115,51131,3764,ICMP,9403,514,1235,27860,39150,3,4,0.4,24,0.6,1,Normal,India,Germany,0.896,143,0
96.245.99.140,151.193.42.10,54842,7485,ICMP,1445,142,57,19189,7282,40,28,0.85,6,0.26,0,Normal,Russia,UK,0.903,144,0
250.150.121.180,165.139.136.183,4016,1967,UDP,5889,905,604,43677,7812,24,10,0.57,12,0.31,1,Normal,UK,UK,0.464,145,0
213.236.239.126,54.30.163.236,41388,4704,ICMP,8269,961,665,34135,13122,49,29,0.87,20,0.3,0,Normal,UK,India,0.2,146,0
228.184.235.3,231.230.103.196,53542,3370,UDP,553,592,1003,32905,43899,32,2,0.23,21,0.68,0,Normal,USA,Russia,0.43,147,0
53.119.160.25,18.207.135.206,11256,274,ICMP,990,15,1386,27528,45253,13,24,0.31,22,0.63,1,DDoS,Russia,Germany,0.98,148,0
109.158.95.45,82.117.229.151,9591,952,UDP,3713,90,881,34584,16836,47,15,0.34,16,0.87,0,DoS,India,UK,0.864,149,0
221.57.84.181,104.148.61.117,65516,4891,ICMP,2833,604,844,27188,23664,41,19,0.36,22,0.9,0,SQL Injection,Germany,Russia,0.352,150,0
184.166.198.62,104.74.126.196,44630,5854,ICMP,5456,920,156,31187,7129,24,7,0.94,2,0.53,0,Normal,India,Russia,0.53,151,0
50.180.52.57,139.85.181.165,27230,7195,UDP,4948,896,156,4946,8247,46,8,0.79,39,0.36,0,SQL Injection,India,China,0.717,152,0
92.154.24.74,211.100.138.90,9809,4797,ICMP,8254,557,999,13402,37171,4,9,0.32,33,0.75,0,Normal,Germany,India,0.149,153,0
119.13.70.16,184.124.90.37,8480,4295,ICMP,438,781,541,6178,10746,14,6,0.71,27,0.96,0,Normal,Russia,India,0.466,154,0
166.86.54.108,87.70.70.234,53182,2860,UDP,6646,172,1154,42893,26261,22,23,0.17,20,0.06,0,Normal,India,Russia,0.807,155,0
109.25.157.78,241.197.82.223,48206,624,UDP,6071,12,717,21532,44164,44,7,0.75,3,0.44,0,Normal,UK,USA,0.758,156,0
129.132.178.208,252.113.181.80,30018,68,TCP,1684,602,493,23210,27231,8,11,0.4,13,0.89,0,Normal,Germany,India,0.999,157,0
138.180.9.70,117.25.66.151,62189,848,TCP,9208,37,69,21767,32983,31,22,0.07,15,0.25,0,Normal,Russia,India,0.462,158,1
100.6.76.71,149.175.203.69,25635,1743,ICMP,7239,830,1059,34831,2155,5,20,0.19,46,0.83,0,Normal,China,China,0.412,159,0
37.155.64.102,153.193.3.31,8257,7091,TCP,8411,770,681,3668,40155,45,21,0.54,40,0.97,1,Normal,Germany,UK,0.242,160,0
51.82.125.215,156.170.14.248,39246,731,UDP,4260,932,233,40395,7804,38,27,0.59,36,0.07,0,Normal,USA,India,0.634,161,0
15.181.116.39,248.211.155.91,44175,5311,UDP,2638,46,998,49811,28192,14,28,0.88,30,0.71,0,Normal,USA,China,0.632,162,0
172.250.17.247,17.117.29.251,61130,6329,ICMP,9566,992,963,15505,4847,44,14,0.46,44,0.42,0,Normal,India,India,0.316,163,0
115.88.182.225,37.244.200.221,3916,2289,ICMP,7684,647,1368,14877,48983,35,6,0.88,10,0.95,0,Normal,India,China,0.452,164,0
229.240.77.67,164.111.167.120,19820,7828,UDP,3503,576,127,13814,8930,7,29,0.42,46,0.44,0,Normal,Germany,UK,0.389,165,0
146.34.113.24,164.245.245.91,41983,1822,TCP,4476,764,366,6207,22248,8,20,0.67,12,0.68,0,Normal,Germany,UK,0.259,166,0
103.165.232.240,69.49.245.44,31361,3676,TCP,2068,143,90,19291,40979,8,28,0.61,26,0.3,0,Normal,Germany,China,0.547,167,0
216.128.212.105,76.17.70.89,51841,5150,ICMP,2956,64,239,48759,28466,9,9,0.53,46,0.5,0,Normal,USA,Russia,0.357,168,0
32.188.254.9,74.80.160.157,34903,2651,ICMP,5134,168,1466,627,1024,30,1,0.58,33,0.69,1,Normal,China,UK,0.279,169,0
75.237.211.55,131.186.192.183,32279,4339,TCP,2789,989,477,41551,6954,29,15,0.6,28,0.66,0,Normal,Russia,India,0.343,170,0
140.66.205.199,211.152.226.167,57620,2803,ICMP,3648,302,982,9124,16305,38,3,0.5,2,0.4,0,DoS,UK,Russia,0.964,171,0
23.99.192.195,89.246.91.167,20042,1100,UDP,6379,333,459,42328,29796,6,26,0.68,49,0.28,0,Normal,China,USA,0.671,172,0
129.127.40.139,76.120.126.213,55393,5847,TCP,7699,143,854,24633,43539,8,3,0.58,19,0.74,0,Normal,USA,USA,0.498,173,0
67.103.190.64,19.64.163.98,26451,3702,ICMP,8389,528,501,11230,26511,31,1,0.29,5,0.18,0,Normal,Russia,Russia,0.352,174,1
68.173.17.25,64.157.233.41,35429,4869,UDP,4295,291,999,12105,33196,10,27,0.77,43,0.99,1,Botnet,Germany,Russia,0.9,175,0
20.65.107.65,73.199.129.118,7319,4566,ICMP,7120,197,900,16532,48361,32,29,0.69,37,0.96,0,Normal,USA,USA,0.821,176,0
23.56.47.154,146.116.104.197,54349,6115,ICMP,5100,329,363,40694,5371,47,23,0.86,40,0.43,0,Botnet,Germany,UK,0.265,177,0
206.50.222.202,135.171.122.47,46737,6198,TCP,6347,403,117,33418,33330,37,27,0.69,11,0.59,0,Normal,UK,Russia,0.13,178,0
72.111.178.174,32.250.50.234,52511,6620,ICMP,448,690,216,34206,32530,19,5,0.47,45,0.91,0,Normal,Germany,Germany,0.426,179,0
95.115.123.204,219.156.23.11,16146,8069,TCP,3280,997,1258,42905,26786,49,15,0.19,38,0.54,1,Normal,Russia,UK,0.695,180,0
75.108.49.149,57.75.84.196,31203,3844,UDP,9483,584,1324,5023,37031,7,23,0.39,2,0.77,0,Normal,USA,China,0.841,181,0
30.55.142.63,15.121.197.11,30380,962,ICMP,5005,325,978,14080,14811,23,28,0.81,17,0.21,0,Normal,China,China,0.818,182,0
22.55.110.246,184.113.62.21,42556,7747,UDP,6854,845,219,1629,48549,1,4,0.69,16,0.9,1,SQL Injection,Russia,USA,0.349,183,0
122.20.227.124,6.139.226.162,25907,7216,ICMP,8990,941,1370,26756,30035,40,1,0.29,25,0.63,0,Normal,USA,India,0.422,184,0
56.36.160.99,178.203.122.126,33818,2249,UDP,2875,713,418,22492,891,18,5,0.68,47,0.88,0,Normal,USA,India,0.951,185,1
